icao,name,lat,lon,elevation_ft,type
K00C,Animas Air Park,37.203201,-107.869003,6684,small_airport
K00F,Broadus Airport,45.470462,-105.457145,3280,small_airport
K00M,Thigpen Field,31.953728,-89.23527,351,small_airport
K00R,Livingston Municipal Airport,30.6859,-95.017899,151,small_airport
K00V,Meadow Lake Airport,38.945801,-104.57,6874,small_airport
K01,Farington Field,40.38750076293945,-95.78919982910156,932,small_airport
K01G,Perry-Warsaw Airport,42.741453,-78.052646,1559,small_airport
K01M,Tishomingo County Airport,34.490924,-88.200996,578,small_airport
K01T,Rocking L Airport,30.37257,-100.190242,2339,small_airport
K02A,Chilton County Airport / Gragg-Wade Field,32.850498,-86.611397,585,small_airport
K02C,Capitol Drive Airport,43.090222,-88.17816,850,small_airport
K02G,Columbiana County Airport,40.673302,-80.641403,1160,small_airport
K03B,Mansfield Municipal Airport,37.126834,-92.621594,1500,small_airport
K03D,Memphis Memorial Airport,40.4473,-92.226997,813,small_airport
K04A,Frank Sikes Airport,31.7363,-86.262497,300,small_airport
K04G,Lansdowne Airport,41.130501,-80.619598,1044,small_airport
K04M,Calhoun County Airport,33.930038,-89.343266,383,small_airport
K04Y,Hawley Municipal Airport,46.883801,-96.350304,1208,small_airport
K05C,Griffith-Merrillville Airport,41.519798,-87.399498,634,small_airport
K05D,New Town Municipal Airport,47.966996,-102.477997,1925,small_airport
K05U,Eureka Airport,39.604198455799995,-116.004997253,5954,small_airport
K06A,Moton Field Municipal Airport,32.460499,-85.680002,264,small_airport
K06C,Schaumburg Regional Airport,41.9892997742,-88.1011962891,801,small_airport
K06D,Rolla Municipal Airport,48.8843,-99.620903,1823,small_airport
K06M,City of Eupora Airport,33.534622,-89.312975,450,small_airport
K06U,Jackpot Airport/Hayden Field,41.97600173949999,-114.657997131,5213,small_airport
K07,Rolla Downtown Airport,37.935699,-91.813499,987,small_airport
K07A,Franklin Field,32.166801,-85.809702,300,small_airport
K07F,Gladewater Municipal Airport,32.528801,-94.971702,296,small_airport
K07R,Bishop-Windham Airport,27.6103,-97.752614,55,small_airport
K07V,Cuchara Valley At La Veta Airport,37.5238,-105.009002,7153,small_airport
K08,Holly Airport,38.035179,-102.11673,3390,small_airport
K08A,Wetumpka Municipal Airport,32.5294,-86.328201,197,small_airport
K08C,Riverview Airport,42.935902,-85.805,603,small_airport
K08D,Stanley Municipal Airport,48.3008,-102.405998,2245,small_airport
K08K,Harvard State Airport,40.651402,-98.079803,1815,small_airport
K08M,Carthage-Leake County Airport,32.7612,-89.530098,454,small_airport
K09A,Butler-Choctaw County Airport,32.119301,-88.127502,134,small_airport
K09J,Jekyll Island Airport,31.074499,-81.427803,11,small_airport
K09K,Sargent Municipal Airport,41.634903,-99.342161,2313,small_airport
K09M,Charleston Municipal Airport,33.991501,-90.078621,175,small_airport
K09R,Tyler County Airport,30.774768,-94.458818,388,small_airport
K0A3,Smithville Municipal Airport,35.985298,-85.809303,1084,small_airport
K0A4,Johnson City Airport,36.363701,-82.308998,1550,small_airport
K0A7,Hendersonville Airport,35.308258,-82.432948,2084,small_airport
K0A8,Bibb County Airport,32.93691,-87.090533,251,small_airport
K0A9,Elizabethton Municipal Airport,36.371201,-82.173302,1593,small_airport
K0B1,Bethel Regional Airport,44.425201,-70.809896,654,small_airport
K0B4,Hartington Municipal Airport / Bud Becker Field,42.6036,-97.252602,1387,small_airport
K0B5,Turners Falls Airport,42.5914,-72.522797,356,small_airport
K0B8,Elizabeth Field,41.252099,-72.032218,9,small_airport
